Revit Langauge,Locale Codes,Revit
español / Spanish,"es_es, spanish",>=2013
Português do Brasil / Brazilian Portuguese,"brazilian, portuguese, portuguese_brazil, pt_br, pt_pt",>=2013
العربیه / Arabic,"ar, arabic",All
한국어 / Korean,"ko, korean",>=2013
Magyar / Hungarian,"hu, hungarian",>=2013
Deutsch / German,"de_de, german",>=2013
Nederlands / Dutch,"dutch, nl_be, nl_nl",>=2013
italiano / Italian,"it_it, italian",>=2013
Русский / Russian,"ru, russian",>=2013
فارسی / Farsi,"fa, farsi, persian",All
日本語 / Japanese,"ja, japanese",>=2013
Čeština / Czech,"cs, czech",>=2013
简体中文 / Chinese Simplified,"chinese, chinese_s",>=2013
Български / Bulgarian,"bg, bulgarian",All
Українська / Ukrainian,"uk, ukrainian",All
English Great Britain,en_gb,>=2018
français / French,"fr_fr, french",>=2013
Polski / Polish,"pl, polish",>=2013
English USA,"en_us, english",>=2013
繁體中文 / Chinese Traditional,"chinese, chinese_t",>=2013
